Ocupacion,Years_Trabajados,Tipo_Trabajo,Ingresos_Mensuales,Tipo_Contrato,Idioma_Casa,Lee_Escribe,Asiste_Asistio,Titulo_Alcanzado,Indice_pobreza,Condicion_pobreza
7,1,2,2200000,4,2,1,1,,3,0
9,3,2,1600000,4,1,1,1,,3,0
9,2,2,2400000,4,2,1,1,,3,0
9,5,6,1200000,4,3,1,1,,2,1
9,0,2,800000,4,3,1,1,,2,1
4,0,2,2000000,3,3,1,1,,2,1
1,6,1,3100000,1,3,1,1,7,2,1
4,5,2,2500000,1,2,1,1,,2,1
5,25,2,2000000,4,3,1,1,14,3,0
4,1,1,2340000,3,3,1,1,,2,1
5,3,2,2680373,4,2,1,1,,3,0
4,12,2,2680373,3,2,1,1,,3,0
5,5,2,2600000,3,3,1,1,,3,0
9,12,2,1500000,4,2,1,1,,3,0
5,8,2,700000,4,3,1,1,,3,0
8,2,2,5000000,3,3,1,1,,3,0
5,3,2,2600000,3,3,1,1,,3,0
5,2,2,2600000,3,3,1,1,,3,0
9,2,1,2600000,3,2,1,1,,3,0
9,0,2,2300000,3,2,1,1,,3,0
7,1,2,1500000,4,1,1,1,,3,0
5,0,6,1200000,4,1,1,1,,2,1
2,21,1,2500000,1,2,1,1,3,3,0
9,0,2,1000000,4,2,1,1,,2,1
4,24,1,2200000,1,2,1,1,14,3,0
4,1,2,2320000,1,3,1,1,14,3,0
2,10,1,2320000,1,2,1,1,1,3,0
2,4,2,1800000,4,3,1,1,14,3,0
1,2,2,4000000,2,3,1,1,14,3,0
9,3,2,2550000,3,3,1,1,,3,0
5,10,2,2500000,1,2,1,1,1,3,0
9,2,2,1280000,4,2,1,1,,3,0
3,3,2,2600000,4,3,1,1,,3,0
9,3,2,1500000,4,3,1,1,,3,0
9,2,2,2500000,2,3,1,1,,3,0
3,5,2,4800000,1,3,1,1,1,3,0
2,2,2,5000000,1,3,1,1,1,3,0
9,24,1,4000000,1,3,1,1,,3,0
8,7,2,2400000,1,3,1,1,14,3,0
4,5,1,2900000,1,3,1,1,14,3,0
4,1,2,2680000,3,3,1,1,14,3,0
9,29,6,1200000,4,2,1,1,,2,1
9,9,6,1500000,4,3,1,1,,3,0
1,0,2,7000000,1,3,1,1,1,3,0
7,5,2,2500000,4,2,1,1,,3,0
1,10,1,3500000,1,2,1,1,,3,0
1,12,1,5000000,1,2,1,1,1,3,0
3,6,1,3500000,1,2,1,1,,3,0
5,5,2,3000000,1,2,1,1,1,3,0
9,6,6,1200000,4,2,1,1,,3,0
4,0,2,2500000,3,3,1,1,14,3,0
1,5,2,2500000,1,2,1,1,,3,0
5,5,2,2200000,1,2,1,1,,3,0
3,22,1,4500000,1,3,1,1,1,3,0
9,10,2,2300000,1,2,1,1,,3,0
5,6,2,2300000,1,2,1,1,,3,0
4,2,2,2300000,1,2,1,1,,3,0
5,4,2,2500000,3,3,1,1,,3,0
3,10,1,3500000,1,2,1,1,14,3,0
5,3,6,1000000,4,2,1,1,,3,0
2,18,2,5000000,1,2,1,1,1,3,0
3,0,1,4800000,1,3,1,1,14,3,0
3,3,1,3800000,1,3,1,1,14,3,0
5,5,2,5000000,1,3,1,1,1,3,0
2,12,1,10000000,1,3,1,1,10,3,0
2,27,1,6000000,1,3,1,1,10,3,0
4,5,2,1600000,4,2,1,1,,3,0
9,2,2,1300000,3,3,1,1,1,3,0
3,10,2,2400000,1,3,1,1,1,3,0
5,14,2,2800000,3,3,1,1,,3,0
2,2,2,2600000,1,3,1,1,1,3,0
1,20,2,4000000,1,3,1,1,1,3,0
3,10,1,5000000,1,3,1,1,1,3,0
5,2,2,2300000,1,2,1,1,,3,0
5,0,2,2300000,1,2,1,1,,3,0
4,8,2,3000000,1,2,1,1,,3,0
3,1,2,3100000,1,2,1,1,7,3,0
3,20,1,3000000,1,3,1,1,7,3,0
1,2,2,5400000,1,3,1,1,14,3,0
4,4,2,2320000,1,3,1,1,14,3,0
4,0,2,3000000,3,3,1,1,1,3,0
3,8,2,4000000,1,3,1,1,,3,0
2,3,1,2500000,2,3,1,1,10,3,0
4,5,2,2300000,1,3,1,1,,3,0
1,8,2,7000000,1,3,1,1,1,3,0
4,2,2,2600000,3,3,1,1,14,3,0
4,17,2,4000000,1,2,1,1,14,3,0
1,6,1,3000000,3,3,1,1,14,3,0
2,4,1,9100000,1,3,1,1,14,3,0
5,16,2,1850000,1,2,1,1,,3,0
5,15,2,2200000,4,2,1,1,,3,0
8,2,2,3000000,3,3,1,1,,3,0
5,1,2,2680373,3,3,1,1,,3,0
7,2,2,2650000,1,2,1,1,14,3,0
3,5,2,2760000,1,2,1,1,1,3,0
3,4,2,2600000,1,3,1,1,,3,0
3,0,1,2680373,3,2,1,1,1,3,0
5,2,2,1600000,4,3,1,1,,3,0
5,11,1,4600000,1,2,1,1,14,3,0
4,2,1,1500000,3,3,1,1,,2,1
4,0,2,1500000,4,3,1,1,,2,1
7,5,2,2600000,3,3,1,1,,3,0
9,3,2,1700000,4,3,1,1,,3,0
8,4,2,4000000,4,2,1,1,,3,0
9,6,2,2320000,1,2,1,1,,3,0
5,6,2,2500000,2,2,1,1,,3,0
7,9,2,3200000,4,3,1,1,,3,0
7,12,2,2400000,4,2,1,1,,2,1
9,12,6,320000,4,2,1,1,,2,1
9,14,2,300000,4,2,1,1,,2,1
9,6,2,2550000,1,2,1,1,,2,1
8,3,2,1200000,4,3,1,1,,3,0
9,4,2,2300000,1,2,1,1,,3,0
7,1,2,2000000,4,3,1,1,,3,0
7,10,2,2800000,4,3,1,1,,2,1
4,4,2,2500000,1,3,1,1,,3,0
7,20,2,2500000,1,3,1,1,,3,0
7,8,2,2600000,4,1,1,1,,2,1
3,10,2,3000000,2,3,1,1,1,3,0
3,14,1,3100000,1,3,1,1,1,3,0
5,2,2,2600000,3,3,1,1,,3,0
5,10,2,1680000,4,3,1,1,,3,0
9,0,2,1500000,3,3,1,1,,3,0
5,0,2,1200000,4,3,1,1,,3,0
5,7,2,2600000,4,2,1,1,,3,0
5,7,2,2400000,1,3,1,1,14,3,0
2,4,2,2600000,3,3,1,1,1,3,0
2,0,2,2600000,3,3,1,1,14,3,0
4,23,1,3000000,1,3,1,1,,3,0
4,1,2,2320000,1,3,1,1,14,3,0
5,2,2,2320000,1,3,1,1,,3,0
5,20,2,1800000,4,2,1,1,,3,0
7,20,2,2470000,4,2,1,1,,3,0
7,1,2,2160000,4,2,1,1,,3,0
4,5,2,2200000,4,3,1,1,,2,1
1,10,1,6000000,1,3,1,1,1,3,0
9,4,2,2300000,3,2,1,1,,3,0
4,20,2,2400000,3,3,1,1,14,3,0
9,0,2,2000000,3,3,1,1,,3,0
9,0,2,2000000,3,3,1,1,,3,0
3,10,2,4000000,2,2,1,1,,3,0
3,3,2,3500000,3,3,1,1,1,3,0
3,2,1,3000000,1,3,1,1,14,3,0
9,2,2,1800000,4,2,1,1,,3,0
5,0,2,2500000,3,2,1,1,,3,0
7,8,2,1600000,4,2,1,1,,3,0
2,11,2,1400000,2,3,1,1,1,3,0
2,10,2,7000000,1,3,1,1,1,3,0
4,6,2,2700000,1,2,1,1,,3,0
5,0,6,1000000,4,2,1,1,,3,0
5,1,2,800000,4,3,1,1,,3,0
3,23,1,6000000,1,3,1,1,14,3,0
9,2,6,400000,4,2,1,1,,3,0
4,20,1,2800000,1,2,1,1,1,3,0
1,20,2,4000000,3,3,1,1,14,3,0
5,4,2,3500000,3,3,1,1,,3,0
4,0,2,2700000,3,3,1,1,,3,0
3,1,1,2500000,1,2,1,1,1,3,0
7,10,1,3300000,1,3,1,1,,3,0
9,10,1,3000000,1,3,1,1,,3,0
9,1,1,2750000,3,2,1,1,,3,0
3,0,2,3000000,3,3,1,1,7,3,0
9,0,2,1600000,4,2,1,1,,3,0
5,2,1,4000000,1,2,1,1,6,3,0
1,6,2,2800000,4,3,1,1,14,3,0
5,5,2,3000000,3,3,1,1,,3,0
5,10,2,3000000,4,2,1,1,,3,0
9,1,6,1800000,4,2,1,1,,3,0
7,7,2,2800000,1,1,1,1,,3,0
7,2,2,2300000,1,3,1,1,,3,0
7,2,2,2300000,1,3,1,1,,3,0
5,35,2,2300000,1,1,1,1,,3,0
1,10,2,4000000,1,3,1,1,,3,0
4,0,2,2900000,1,3,1,1,,3,0
5,12,2,2700000,1,2,1,1,,3,0
5,14,2,2500000,4,3,1,1,14,3,0
9,8,2,2500000,4,3,1,1,14,3,0
5,8,2,2800000,4,2,1,1,,3,0
5,7,2,2400000,4,3,1,1,,3,0
3,5,2,2500000,3,3,1,1,7,3,0
7,12,2,3000000,4,2,1,1,,3,0
5,5,2,1500000,3,2,1,1,,3,0
5,2,2,2550307,3,2,1,1,,3,0
1,20,2,3000000,3,3,1,1,,3,0
2,0,2,3000000,3,3,1,1,1,3,0
5,16,2,2400000,1,3,1,1,,3,0
2,5,2,6000000,3,3,1,1,1,3,0
2,1,2,3000000,3,3,1,1,14,3,0
1,3,2,4000000,1,3,1,1,1,3,0
4,2,2,3500000,1,3,1,1,1,3,0
1,2,1,12000000,1,3,1,1,1,3,0
3,8,1,6000000,1,3,1,1,1,3,0
4,0,2,2500000,3,2,1,1,,3,0
1,5,2,7000000,1,3,1,1,1,3,0
3,15,2,2800000,1,3,1,1,14,3,0
1,6,2,7000000,2,2,1,1,1,3,0
2,15,2,7000000,2,2,1,1,14,3,0
9,4,1,1600000,2,3,1,1,,3,0
3,7,2,8000000,4,3,1,1,,3,0
3,7,2,2500000,4,3,1,1,14,3,0
4,4,2,1500000,3,3,1,1,,3,0
9,1,1,2500000,3,2,1,1,,3,0
3,22,1,2300000,1,2,1,1,,3,0
9,1,2,1500000,3,2,1,1,,2,1
