Ocupacion,Años_Trabajados,Tipo_Trabajo,Ingresos_Mensuales,Tipo_Contrato,Ingreso_Jubilacion,Idioma_Casa,Lee_Escribe,Asiste_Asistio,Titulo_Alcanzado,Asiste_Actual,Razon_Dejar,indice_pobreza,condicion_pobreza
"2,00","3,00","2,00","4.200.000,00","3,00","0,00","3,00","1,00","1,00","14,00","19,00","14,00","3,00","0,00"
"3,00","9,00","2,00","5.500.000,00","1,00","0,00","3,00","1,00","1,00","14,00","19,00","14,00","3,00","0,00"
"1,00","15,00","2,00","10.000.000,00","1,00","0,00","3,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"2,00","5,00","2,00","3.200.000,00","3,00","0,00","2,00","1,00","1,00","10,00","19,00","2,00","3,00","0,00"
"3,00","10,00","2,00","2.500.000,00","1,00","0,00","3,00","1,00","1,00","14,00","19,00","2,00","3,00","0,00"
"4,00","5,00","2,00","2.500.000,00","1,00","0,00","3,00","1,00","1,00","14,00","19,00","2,00","3,00","0,00"
"5,00","8,00","2,00","2.500.000,00","1,00","0,00","3,00","1,00","1,00",,"19,00","14,00","3,00","0,00"
"7,00","20,00","2,00","2.500.000,00","1,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"9,00","5,00","2,00","2.500.000,00","3,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"9,00","18,00","6,00","2.000.000,00","4,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"5,00","6,00","2,00","2.500.000,00","3,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"3,00","0,00","2,00","3.500.000,00","3,00","0,00","3,00","1,00","1,00","14,00","19,00","2,00","3,00","0,00"
"2,00","16,00","2,00","7.000.000,00","2,00","0,00","3,00","1,00","1,00","1,00","19,00","1,00","3,00","0,00"
"3,00","0,00","2,00","2.200.000,00","1,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"7,00","4,00","2,00","2.000.000,00","3,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"2,00","1,00","2,00","5.000.000,00","1,00","0,00","2,00","1,00","1,00","14,00","19,00","2,00","3,00","0,00"
"3,00","0,00","2,00","4.000.000,00","4,00","0,00","2,00","1,00","1,00","14,00","19,00","2,00","3,00","0,00"
"1,00","10,00","2,00","3.000.000,00","1,00","0,00","2,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"9,00","25,00","6,00","1.200.000,00","4,00","0,00","2,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"3,00","25,00","2,00","2.500.000,00","1,00","0,00","3,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"3,00","5,00","2,00","2.000.000,00","4,00","0,00","3,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"4,00","0,00","2,00","1.800.000,00","3,00","0,00","3,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"2,00","16,00","1,00","5.000.000,00","1,00","0,00","3,00","1,00","1,00","1,00","19,00","3,00","3,00","0,00"
"1,00","3,00","2,00","2.680.000,00","4,00","0,00","2,00","1,00","1,00","14,00","19,00","2,00","3,00","0,00"
"7,00","6,00","2,00","2.500.000,00","1,00","0,00","2,00","1,00","1,00",,"19,00","1,00","2,00","1,00"
"2,00","0,00","2,00","2.500.000,00","1,00","0,00","3,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"3,00","10,00","1,00","4.200.000,00","3,00","0,00","2,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"7,00","13,00","1,00","3.000.000,00","1,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"9,00","20,00","6,00","1.600.000,00","4,00","0,00","3,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
"5,00","10,00","1,00","2.200.000,00","1,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"9,00","5,00","2,00","2.550.000,00","4,00","0,00","3,00","1,00","1,00",,"19,00","2,00","3,00","0,00"
"1,00","30,00","1,00","8.778.681,00","1,00","0,00","2,00","1,00","1,00","1,00","19,00","2,00","3,00","0,00"
"9,00","6,00","2,00","2.454.000,00","3,00","0,00","2,00","1,00","1,00",,"19,00","1,00","3,00","0,00"
