B01REC,B03LU,B03MA,B03MI,B03JU,B03VI,B03SA,B03DO,B07A,B12,B16T,B26,E01A,E01B,E01C,E01H,ED01,ED02,ED03,ED0504,ED06C,ED08,ED10,e01aimde,e01hde,pobrezai,pobnopoi
"9,00","8,00","8,00","8,00","0,00","5,00","8,00","8,00","0,00","2,00","2.400.000,00","4,00","2.400.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","1,00","2.381.380,92","0,00","3,00","0,00"
"9,00","8,00","8,00","8,00","0,00","0,00","8,00","8,00","5,00","6,00","2.000.000,00","4,00","2.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","606,00",,"19,00","1,00","2.480.605,12","0,00","3,00","0,00"
"1,00","8,00","8,00","8,00","0,00","0,00","8,00","8,00","20,00","2,00","2.500.000,00","1,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.404,00","1,00","19,00","2,00","2.480.605,12","0,00","3,00","0,00"
"5,00","8,00","8,00","8,00","0,00","6,00","8,00","8,00","0,00","2,00","2.500.000,00","3,00","3.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","5,00","3.472.847,17","0,00","3,00","0,00"
"3,00","6,00","6,00","6,00","0,00","0,00","0,00","6,00","3,00","1,00","3.000.000,00","3,00","3.000.000,00","2.500.000,00","0,00","0,00","2,00","1,00","1,00","2.404,00","1,00","19,00","2,00","2.976.726,14","0,00","3,00","0,00"
"4,00","8,00","8,00","8,00","0,00","6,00","8,00","8,00","6,00","2,00","2.600.000,00","1,00","4.100.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","1,00","4.068.192,40","0,00","3,00","0,00"
"2,00","8,00","0,00","6,00","8,00","8,00","8,00","8,00","7,00","2,00","7.000.000,00","1,00","7.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","3,00","6.918.856,26","0,00","3,00","0,00"
"4,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","1,00","2,00","2.500.000,00","1,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","2,00","2.471.020,09","0,00","3,00","0,00"
"3,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","7,00","2,00","3.000.000,00","1,00","3.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.402,00","14,00","19,00","14,00","2.965.224,11","0,00","3,00","0,00"
"3,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","10,00","2,00","3.500.000,00","1,00","3.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.403,00","14,00","19,00","3,00","3.459.428,13","0,00","3,00","0,00"
"1,00","8,00","0,00","8,00","8,00","8,00","8,00","8,00","1,00","2,00","8.000.000,00","1,00","8.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.403,00","14,00","19,00","2,00","8.006.259,78","0,00","3,00","0,00"
"2,00","8,00","8,00","8,00","0,00","0,00","8,00","8,00","0,00","2,00","8.000.000,00","3,00","8.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","5,00","8.012.529,37","0,00","3,00","0,00"
"3,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","20,00","2,00","4.000.000,00","1,00","4.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.405,00","1,00","19,00","2,00","4.006.264,68","0,00","3,00","0,00"
"5,00","6,00","0,00","0,00","6,00","6,00","6,00","6,00","4,00","1,00","3.000.000,00","1,00","3.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.404,00","1,00","19,00","2,00","3.004.698,51","0,00","3,00","0,00"
"3,00","6,00","0,00","0,00","6,00","6,00","6,00","6,00","5,00","1,00","2.500.000,00","1,00","2.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.404,00","1,00","19,00","2,00","2.503.915,43","0,00","3,00","0,00"
"1,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","8,00","1,00","3.500.000,00","1,00","3.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","606,00",,"19,00","14,00","3.505.481,60","0,00","3,00","0,00"
"7,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","24,00","2,00","2.300.000,00","3,00","2.300.000,00","0,00","0,00","0,00","2,00","1,00","1,00","501,00",,"19,00","1,00","2.303.602,19","0,00","3,00","0,00"
"9,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","2,00","1.600.000,00","3,00","1.600.000,00","0,00","0,00","0,00","2,00","1,00","1,00","901,00",,"19,00","1,00","1.602.505,87","0,00","3,00","0,00"
"3,00","6,00","0,00","0,00","6,00","6,00","6,00","6,00","8,00","1,00","3.200.000,00","1,00","3.200.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.403,00","14,00","19,00","1,00","3.205.011,75","0,00","3,00","0,00"
"3,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","1,00","2,00","10.000.000,00","1,00","10.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","2,00","10.015.661,71","0,00","3,00","0,00"
"9,00","8,00","9,00","10,00","10,00","10,00","8,00","8,00","10,00","2,00","2.000.000,00","4,00","2.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","1,00","2.000.000,00","0,00","3,00","0,00"
"5,00","9,00","9,00","0,00","0,00","9,00","9,00","9,00","0,00","2,00","0,00","3,00","4.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","606,00",,"19,00","2,00","4.500.000,00","0,00","3,00","0,00"
"1,00","8,00","0,00","0,00","0,00","0,00","8,00","8,00","4,00","2,00","8.000.000,00","2,00","8.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","2,00","8.000.000,00","0,00","3,00","0,00"
"4,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","20,00","1,00","5.000.000,00","1,00","5.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","2,00","5.000.000,00","0,00","3,00","0,00"
"3,00","8,00","7,00","0,00","8,00","8,00","8,00","8,00","3,00","2,00","3.000.000,00","1,00","3.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.404,00","1,00","19,00","2,00","3.000.000,00","0,00","3,00","0,00"
"5,00","7,00","7,00","7,00","7,00","0,00","0,00","7,00","0,00","2,00","1.800.000,00","3,00","1.800.000,00","0,00","0,00","0,00","4,00","1,00","1,00","903,00",,"19,00","16,00","1.786.035,69","0,00","3,00","0,00"
"5,00","7,00","7,00","7,00","7,00","0,00","0,00","7,00","0,00","2,00","1.800.000,00","3,00","1.800.000,00","0,00","0,00","0,00","4,00","1,00","1,00","903,00",,"19,00","16,00","1.786.035,69","0,00","3,00","0,00"
"5,00","8,00","0,00","0,00","0,00","10,00","12,00","12,00","10,00","2,00","2.600.000,00","1,00","3.100.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.402,00","14,00","19,00","2,00","3.075.950,35","0,00","3,00","0,00"
"5,00","8,00","8,00","8,00","8,00","0,00","8,00","8,00","11,00","2,00","2.500.000,00","3,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","2,00","2.480.605,12","0,00","3,00","0,00"
"4,00","8,00","8,00","8,00","8,00","0,00","5,00","8,00","0,00","2,00","2.500.000,00","1,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","1.003,00",,"19,00","1,00","2.480.605,12","0,00","3,00","0,00"
"2,00","9,00","9,00","9,00","9,00","0,00","0,00","9,00","1,00","2,00","3.000.000,00","2,00","3.000.000,00","2.500.000,00","0,00","0,00","2,00","1,00","1,00","2.404,00","14,00","19,00","2,00","2.976.726,14","0,00","3,00","0,00"
"2,00","8,00","8,00","0,00","0,00","0,00","8,00","8,00","10,00","1,00","7.000.000,00","1,00","7.000.000,00","2.000.000,00","2.000.000,00","0,00","3,00","1,00","1,00","2.406,00","10,00","19,00","2,00","6.978.176,15","0,00","3,00","0,00"
"7,00","14,00","14,00","0,00","14,00","14,00","14,00","14,00","10,00","2,00","2.438.800,00","1,00","2.588.800,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","2,00","2.580.728,92","0,00","3,00","0,00"
"7,00","9,00","9,00","9,00","0,00","0,00","9,00","0,00","2,00","2,00","1.200.000,00","4,00","1.200.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","15,00","1.196.258,77","0,00","3,00","0,00"
"4,00","8,00","8,00","0,00","8,00","8,00","8,00","8,00","6,00","2,00","2.500.000,00","1,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.402,00","14,00","19,00","3,00","2.492.205,77","0,00","3,00","0,00"
"4,00","8,00","8,00","0,00","8,00","8,00","8,00","8,00","0,00","2,00","2.000.000,00","1,00","2.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.401,00","14,00","19,00","3,00","1.993.764,61","0,00","3,00","0,00"
"9,00","9,00","9,00","0,00","5,00","9,00","9,00","9,00","5,00","2,00","2.500.000,00","1,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","605,00",,"19,00","1,00","2.492.205,77","0,00","2,00","1,00"
"4,00","10,00","10,00","0,00","5,00","10,00","10,00","10,00","3,00","2,00","2.250.000,00","1,00","2.250.000,00","115.000,00","0,00","0,00","2,00","1,00","1,00","2.402,00","14,00","19,00","1,00","2.242.985,19","0,00","3,00","0,00"
"7,00","8,00","8,00","0,00","5,00","8,00","8,00","8,00","5,00","2,00","2.500.000,00","3,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","409,00",,"19,00","2,00","2.492.205,77","0,00","3,00","0,00"
"3,00","12,00","0,00","12,00","0,00","12,00","0,00","12,00","1,00","1,00","2.500.000,00","1,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.002,00","7,00","19,00","2,00","2.492.205,77","0,00","3,00","0,00"
"8,00","10,00","10,00","0,00","0,00","10,00","10,00","10,00","1,00","2,00","2.439.139,00","3,00","2.879.139,00","0,00","0,00","0,00","3,00","1,00","1,00","1.003,00",,"19,00","2,00","2.870.162,73","0,00","3,00","0,00"
"4,00","10,00","10,00","0,00","5,00","10,00","10,00","10,00","1,00","2,00","2.800.000,00","3,00","2.800.000,00","600.000,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","2,00","2.791.270,46","0,00","3,00","0,00"
"9,00","11,00","11,00","0,00","5,00","11,00","11,00","11,00","5,00","2,00","2.600.000,00","4,00","3.120.000,00","0,00","0,00","0,00","3,00","1,00","1,00","409,00",,"19,00","1,00","3.110.272,80","0,00","3,00","0,00"
"9,00","3,00","3,00","8,00","0,00","0,00","0,00","6,00","20,00","2,00","2.000.000,00","3,00","2.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","409,00",,"19,00","2,00","1.993.764,61","0,00","3,00","0,00"
"7,00","8,00","8,00","8,00","0,00","0,00","0,00","0,00","11,00","2,00","3.000.000,00","1,00","3.374.000,00","0,00","0,00","0,00","2,00","1,00","1,00","604,00",,"19,00","1,00","3.363.480,90","0,00","3,00","0,00"
"8,00","8,00","8,00","8,00","0,00","8,00","8,00","8,00","5,00","2,00","2.500.000,00","3,00","2.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","2,00","2.492.205,77","0,00","3,00","0,00"
"8,00","0,00","8,00","8,00","8,00","8,00","8,00","8,00","1,00","2,00","2.500.000,00","3,00","3.940.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","1,00","3.927.716,29","0,00","3,00","0,00"
"8,00","11,00","11,00","11,00","0,00","6,00","11,00","11,00","30,00","2,00","3.000.000,00","1,00","3.600.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","2,00","3.588.776,31","0,00","3,00","0,00"
"7,00","9,00","9,00","9,00","0,00","8,00","0,00","0,00","1,00","2,00","4.500.000,00","3,00","5.668.000,00","0,00","0,00","0,00","3,00","1,00","1,00","306,00",,"19,00","1,00","5.650.328,92","0,00","3,00","0,00"
"7,00","10,00","10,00","10,00","0,00","0,00","0,00","0,00","7,00","2,00","4.500.000,00","3,00","4.680.000,00","0,00","0,00","0,00","3,00","1,00","1,00","902,00",,"19,00","2,00","4.665.409,20","0,00","3,00","0,00"
"9,00","10,00","10,00","10,00","0,00","5,00","10,00","10,00","3,00","6,00","2.680.373,00","4,00","3.070.373,00","0,00","0,00","0,00","2,00","1,00","1,00","902,00",,"19,00","2,00","3.070.373,00","0,00","3,00","0,00"
"9,00","8,00","0,00","0,00","0,00","5,00","8,00","8,00","5,00","6,00","2.000.000,00","4,00","2.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","1,00","2.000.000,00","0,00","2,00","1,00"
"7,00","8,00","0,00","0,00","0,00","0,00","8,00","0,00","20,00","2,00","2.000.000,00","4,00","2.000.000,00","0,00","0,00","0,00","1,00","1,00","1,00","306,00",,"19,00","2,00","2.000.000,00","0,00","2,00","1,00"
"7,00","8,00","8,00","8,00","0,00","5,00","8,00","8,00","3,00","2,00","2.560.000,00","1,00","2.560.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","1,00","2.560.000,00","0,00","3,00","0,00"
"7,00","9,00","9,00","9,00","0,00","6,00","9,00","9,00","30,00","2,00","2.400.000,00","3,00","2.400.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","1,00","2.400.000,00","0,00","3,00","0,00"
"8,00","12,00","0,00","12,00","0,00","12,00","0,00","12,00","8,00","1,00","4.000.000,00","1,00","4.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","606,00",,"19,00","2,00","4.000.000,00","0,00","3,00","0,00"
"8,00","8,00","5,00","0,00","0,00","0,00","11,00","11,00","19,00","2,00","2.600.000,00","4,00","2.600.000,00","0,00","0,00","0,00","2,00","1,00","1,00","502,00",,"19,00","2,00","2.600.000,00","0,00","3,00","0,00"
"8,00","7,00","7,00","7,00","0,00","5,00","7,00","7,00","4,00","2,00","2.000.000,00","4,00","2.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","407,00",,"19,00","2,00","2.000.000,00","0,00","3,00","0,00"
"4,00","8,00","8,00","0,00","5,00","8,00","8,00","8,00","4,00","2,00","4.000.000,00","1,00","4.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.404,00","14,00","19,00","18,00","4.003.129,89","0,00","3,00","0,00"
"2,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","5,00","1,00","12.000.000,00","1,00","12.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","14,00","12.009.389,67","0,00","3,00","0,00"
"3,00","6,00","6,00","0,00","0,00","6,00","6,00","6,00","0,00","2,00","3.000.000,00","3,00","3.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","16,00","3.002.347,42","0,00","3,00","0,00"
"9,00","9,00","0,00","0,00","9,00","9,00","9,00","9,00","14,00","6,00","2.500.000,00","1,00","2.500.000,00","0,00","0,00","0,00","1,00","1,00","1,00","901,00",,"19,00","2,00","2.500.000,00","0,00","3,00","0,00"
"1,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","1,00","2,00","10.000.000,00","1,00","10.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","14,00","10.000.000,00","0,00","3,00","0,00"
"1,00","9,00","0,00","0,00","9,00","9,00","9,00","9,00","13,00","2,00","30.000.000,00","1,00","30.000.000,00","6.000.000,00","0,00","0,00","3,00","1,00","1,00","2.405,00","9,00","19,00","2,00","30.000.000,00","0,00","3,00","0,00"
"2,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","13,00","2,00","6.000.000,00","1,00","6.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.404,00","9,00","19,00","2,00","6.000.000,00","0,00","3,00","0,00"
"2,00","14,00","0,00","14,00","14,00","14,00","14,00","14,00","8,00","2,00","18.000.000,00","1,00","18.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","5,00","18.000.000,00","0,00","3,00","0,00"
"2,00","12,00","0,00","0,00","12,00","12,00","12,00","12,00","5,00","2,00","7.000.000,00","2,00","7.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","5,00","7.000.000,00","0,00","3,00","0,00"
"9,00","10,00","9,00","0,00","0,00","9,00","9,00","9,00","25,00","6,00","2.600.000,00","4,00","3.000.000,00","0,00","0,00","0,00","1,00","1,00","1,00","605,00",,"19,00","14,00","2.976.726,14","0,00","3,00","0,00"
"1,00","8,00","8,00","0,00","8,00","8,00","8,00","8,00","20,00","2,00","7.000.000,00","1,00","7.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","606,00",,"19,00","2,00","7.010.963,20","0,00","3,00","0,00"
"1,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","10,00","2,00","9.000.000,00","1,00","9.000.000,00","0,00","0,00","0,00","4,00","1,00","1,00","2.405,00","1,00","19,00","5,00","9.014.095,54","0,00","3,00","0,00"
"1,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","6,00","2,00","10.000.000,00","1,00","10.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","2,00","9.922.420,48","0,00","3,00","0,00"
"1,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","3,00","2,00","6.000.000,00","1,00","6.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","2,00","5.953.452,29","0,00","3,00","0,00"
"4,00","8,00","8,00","0,00","5,00","8,00","8,00","8,00","10,00","2,00","2.500.000,00","1,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","606,00",,"19,00","1,00","2.480.605,12","0,00","3,00","0,00"
"9,00","10,00","10,00","10,00","10,00","0,00","5,00","10,00","2,00","2,00","2.300.000,00","4,00","2.300.000,00","0,00","0,00","0,00","3,00","1,00","1,00","409,00",,"19,00","2,00","2.321.783,74","0,00","3,00","0,00"
"7,00","9,00","9,00","9,00","9,00","0,00","0,00","9,00","9,00","2,00","1.800.000,00","4,00","2.100.000,00","0,00","0,00","0,00","3,00","1,00","1,00","408,00",,"19,00","1,00","2.119.889,50","0,00","3,00","0,00"
"4,00","8,00","8,00","8,00","8,00","0,00","0,00","8,00","4,00","1,00","2.200.000,00","3,00","2.200.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","11,00","2.220.836,62","0,00","3,00","0,00"
"4,00","6,00","6,00","6,00","6,00","0,00","0,00","6,00","15,00","1,00","3.000.000,00","1,00","3.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","606,00",,"19,00","5,00","3.028.413,58","0,00","3,00","0,00"
"4,00","11,00","11,00","0,00","11,00","11,00","11,00","11,00","3,00","2,00","3.000.000,00","1,00","3.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","1,00","2.990.646,92","0,00","3,00","0,00"
"5,00","7,00","7,00","0,00","7,00","7,00","7,00","7,00","1,00","6,00","1.500.000,00","4,00","1.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","1,00","1.495.323,46","0,00","3,00","0,00"
"2,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","3,00","2,00","4.000.000,00","3,00","4.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","2,00","3.987.529,23","0,00","3,00","0,00"
"2,00","4,00","4,00","0,00","0,00","4,00","4,00","4,00","23,00","2,00","3.200.000,00","3,00","3.200.000,00","0,00","0,00","4.200.000,00","3,00","1,00","1,00","2.404,00","1,00","19,00","1,00","3.190.023,38","4.186.905,69","3,00","0,00"
"5,00","10,00","10,00","10,00","10,00","10,00","0,00","10,00","10,00","2,00","2.300.000,00","1,00","2.300.000,00","0,00","0,00","0,00","2,00","1,00","1,00","606,00",,"19,00","1,00","2.273.338,49","0,00","3,00","0,00"
"5,00","8,00","8,00","0,00","6,00","8,00","8,00","8,00","15,00","2,00","2.500.000,00","1,00","4.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.401,00","14,00","19,00","2,00","3.953.632,15","0,00","3,00","0,00"
"5,00","8,00","8,00","0,00","6,00","8,00","8,00","8,00","7,00","2,00","5.000.000,00","1,00","5.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.404,00","14,00","19,00","3,00","4.942.040,19","0,00","3,00","0,00"
"4,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","12,00","2,00","3.800.000,00","3,00","3.800.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","2,00","3.755.950,54","0,00","3,00","0,00"
"1,00","10,00","10,00","0,00","0,00","10,00","10,00","10,00","15,00","1,00","18.000.000,00","1,00","23.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.401,00","14,00","19,00","2,00","22.733.384,85","0,00","3,00","0,00"
"1,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","15,00","2,00","12.000.000,00","1,00","12.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","2,00","11.860.896,45","0,00","3,00","0,00"
"9,00","0,00","0,00","8,00","8,00","8,00","8,00","0,00","2,00","2,00","2.000.000,00","4,00","2.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","3,00","1.976.816,07","0,00","3,00","0,00"
"1,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","13,00","2,00","3.500.000,00","1,00","3.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","3,00","3.459.428,13","0,00","3,00","0,00"
"2,00","10,00","10,00","0,00","0,00","10,00","10,00","10,00","14,00","1,00","3.000.000,00","3,00","3.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.404,00","1,00","19,00","2,00","2.965.224,11","0,00","3,00","0,00"
"3,00","8,00","8,00","0,00","0,00","8,00","8,00","8,00","12,00","2,00","3.500.000,00","1,00","3.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","2,00","3.459.428,13","0,00","3,00","0,00"
"5,00","8,00","8,00","8,00","8,00","8,00","0,00","8,00","1,00","2,00","3.000.000,00","4,00","3.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.401,00","14,00","19,00","15,00","2.965.224,11","0,00","3,00","0,00"
"5,00","15,00","0,00","15,00","15,00","15,00","15,00","15,00","0,00","2,00","2.800.000,00","1,00","2.800.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.401,00","14,00","19,00","1,00","2.759.013,87","0,00","3,00","0,00"
"5,00","14,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,00","2.340.000,00","1,00","2.340.000,00","0,00","0,00","0,00","1,00","1,00","1,00","306,00",,"19,00","14,00","2.305.747,30","0,00","3,00","0,00"
"9,00","9,00","0,00","9,00","9,00","0,00","9,00","0,00","0,00","2,00","2.080.000,00","4,00","2.080.000,00","1.200.000,00","0,00","0,00","3,00","1,00","1,00","606,00",,"19,00","2,00","2.049.553,16","0,00","3,00","0,00"
"7,00","0,00","5,00","9,00","9,00","9,00","9,00","9,00","15,00","2,00","2.400.000,00","4,00","2.400.000,00","0,00","0,00","0,00","1,00","1,00","1,00","305,00",,"19,00","1,00","2.364.869,03","0,00","2,00","1,00"
"9,00","7,00","0,00","5,30","7,00","7,00","7,00","7,00","6,00","6,00","1.200.000,00","4,00","1.720.000,00","400.000,00","0,00","0,00","2,00","1,00","1,00","407,00",,"19,00","6,00","1.694.822,80","0,00","3,00","0,00"
"7,00","9,00","0,00","9,00","9,00","9,00","9,00","9,00","8,00","2,00","3.640.000,00","4,00","3.640.000,00","0,00","0,00","0,00","3,00","1,00","1,00","305,00",,"19,00","15,00","3.586.718,03","0,00","3,00","0,00"
"9,00","8,00","0,00","0,00","8,00","8,00","0,00","8,00","5,00","6,00","1.280.000,00","4,00","1.680.000,00","0,00","0,00","0,00","2,00","1,00","1,00","306,00",,"19,00","1,00","1.655.408,32","0,00","2,00","1,00"
"7,00","11,00","0,00","8,00","11,00","11,00","11,00","11,00","1,00","2,00","2.600.000,00","4,00","2.600.000,00","0,00","0,00","0,00","3,00","1,00","1,00","901,00",,"19,00","2,00","2.561.941,45","0,00","2,00","1,00"
"5,00","8,00","0,00","4,00","8,00","8,00","8,00","8,00","2,00","6,00","1.200.000,00","4,00","1.700.000,00","0,00","0,00","0,00","3,00","1,00","1,00","501,00",,"19,00","14,00","1.675.115,56","0,00","3,00","0,00"
"7,00","8,00","0,00","4,00","8,00","8,00","8,00","8,00","5,00","2,00","4.800.000,00","4,00","4.800.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","1,00","4.729.738,06","0,00","3,00","0,00"
"5,00","12,00","12,00","12,00","0,00","12,00","12,00","12,00","9,00","2,00","3.000.000,00","1,00","3.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","501,00",,"19,00","1,00","3.000.000,00","0,00","3,00","0,00"
"9,00","9,30","9,00","9,30","0,00","0,00","9,30","9,30","6,00","2,00","2.500.000,00","3,00","2.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","503,00",,"19,00","1,00","2.500.000,00","0,00","3,00","0,00"
"5,00","6,00","6,00","6,00","6,00","0,00","0,00","6,00","1,00","2,00","1.200.000,00","3,00","1.200.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","2,00","1.200.000,00","0,00","3,00","0,00"
"5,00","6,00","6,00","6,00","6,00","0,00","0,00","6,00","1,00","2,00","1.200.000,00","3,00","1.200.000,00","0,00","0,00","0,00","2,00","1,00","1,00","903,00",,"19,00","2,00","1.200.000,00","0,00","3,00","0,00"
"9,00","6,00","6,00","6,00","6,00","0,00","0,00","6,00","0,00","6,00","500.000,00","4,00","500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","502,00",,"19,00","2,00","500.000,00","0,00","2,00","1,00"
"5,00","6,00","6,00","6,00","6,00","0,00","6,00","6,00","2,00","2,00","2.160.000,00","3,00","2.160.000,00","0,00","0,00","0,00","3,00","1,00","1,00","606,00",,"19,00","2,00","2.160.000,00","0,00","2,00","1,00"
"7,00","8,00","8,00","8,00","0,00","8,00","8,00","8,00","28,00","2,00","2.500.000,00","4,00","2.500.000,00","0,00","0,00","0,00","1,00","1,00","1,00","306,00",,"19,00","1,00","2.500.000,00","0,00","3,00","0,00"
"9,00","8,00","8,00","8,00","0,00","5,00","8,00","8,00","0,00","2,00","2.400.000,00","4,00","2.400.000,00","0,00","0,00","0,00","2,00","1,00","1,00","409,00",,"19,00","1,00","2.400.000,00","0,00","3,00","0,00"
"5,00","0,00","0,00","0,00","0,00","0,00","6,00","0,00","5,00","6,00","400.000,00","4,00","400.000,00","0,00","0,00","0,00","3,00","1,00","1,00","409,00",,"19,00","14,00","400.000,00","0,00","3,00","0,00"
"9,00","10,00","10,00","10,00","10,00","0,00","5,00","12,00","1,00","2,00","2.500.000,00","3,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","2,00","2.500.000,00","0,00","3,00","0,00"
"1,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","2,00","2,00","30.000.000,00","1,00","30.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.404,00","1,00","19,00","2,00","30.000.000,00","0,00","3,00","0,00"
