B01REC,B03LU,B03MA,B03MI,B03JU,B03VI,B03SA,B03DO,B07A,B12,B16T,B26,E01A,E01B,E01C,E01H,ED01,ED02,ED03,ED0504,ED06C,ED08,ED10,e01aimde,e01hde,pobrezai,pobnopoi
"9,00","10,00","0,00","0,00","10,00","10,00","10,00","10,00","0,00","2,00","2.500.000,00","3,00","2.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","604,00",,"19,00","1,00","2.492.205,77","0,00","3,00","0,00"
"2,00","6,00","0,00","0,00","6,00","6,00","6,00","6,00","15,00","1,00","3.200.000,00","1,00","3.200.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","14,00","19,00","1,00","3.190.023,38","0,00","3,00","0,00"
"9,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","6,00","6,00","500.000,00","4,00","500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","903,00",,"19,00","1,00","498.441,15","0,00","3,00","0,00"
"5,00","11,00","0,00","6,00","11,00","11,00","11,00","11,00","1,00","2,00","800.000,00","4,00","800.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.402,00","14,00","19,00","1,00","797.505,85","0,00","2,00","1,00"
"9,00","5,00","0,00","5,00","5,00","5,00","5,00","5,00","4,00","6,00","1.200.000,00","4,00","1.200.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.002,00","7,00","19,00","2,00","1.196.258,77","0,00","3,00","0,00"
"5,00","6,00","6,00","6,00","6,00","0,00","6,00","6,00","0,00","2,00","2.500.000,00","3,00","2.500.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.404,00","1,00","19,00","2,00","2.492.205,77","0,00","3,00","0,00"
"9,00","12,00","0,00","0,00","12,00","12,00","12,00","12,00","2,00","2,00","2.500.000,00","4,00","3.300.000,00","0,00","0,00","0,00","3,00","1,00","1,00","409,00",,"19,00","2,00","3.289.711,61","0,00","3,00","0,00"
"9,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","0,00","2,00","1.300.000,00","3,00","1.300.000,00","0,00","0,00","0,00","3,00","1,00","1,00","408,00",,"19,00","2,00","1.295.947,00","0,00","3,00","0,00"
"3,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","9,00","1,00","2.500.000,00","3,00","2.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","606,00",,"19,00","2,00","2.492.205,77","0,00","3,00","0,00"
"5,00","6,00","6,00","0,00","0,00","6,00","6,00","6,00","0,00","2,00","2.000.000,00","3,00","2.000.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.402,00","14,00","19,00","3,00","1.984.484,10","0,00","3,00","0,00"
